X,Y,SurveyID,SurveyNumber,MagAnomaly,uncertainty
11607.3096304162,1964410.12068148,FRNL85-4,33,107.700000000001,61
11098.6344966927,1964489.181153,FRNL85-4,33,107.499999999997,61
10590.2322863116,1964579.34826308,FRNL85-4,33,108.100000000001,61
10081.8313295379,1964669.52939828,FRNL85-4,33,108.899999999997,61
9584.06306174252,1964759.46306022,FRNL85-4,33,108.600000000001,61
9086.29607577564,1964849.41018994,FRNL85-4,33,109.399999999997,61
8588.5303692547,1964939.37078908,FRNL85-4,33,110.000000000001,61
8079.86072955211,1965018.51414839,FRNL85-4,33,109.799999999997,61
7581.82325452357,1965097.40880376,FRNL85-4,33,109.6,61
7072.88062677486,1965165.48653543,FRNL85-4,33,110.400000000001,61
6564.21265465487,1965244.67128415,FRNL85-4,33,111.199999999997,61
6055.82022136741,1965334.96323783,FRNL85-4,33,110.900000000001,61
5536.24701562623,1965403.34626655,FRNL85-4,33,112.599999999997,61
5027.85642979963,1965493.66646128,FRNL85-4,33,111.4,61
4519.19127831707,1965572.90722067,FRNL85-4,33,112.200000000003,61
4020.88235941716,1965640.80377181,FRNL85-4,33,113.899999999999,61
3511.94182193355,1965708.97842644,FRNL85-4,33,115.8,61
3003.27798743104,1965788.2605445,FRNL85-4,33,118.500000000003,61
2504.96958267683,1965856.19743404,FRNL85-4,33,122.399999999997,61
2006.93851185642,1965935.24135614,FRNL85-4,33,125.1,61
1497.99875017314,1966003.47077589,FRNL85-4,33,129.900000000003,61
989.336847958271,1966082.80791274,FRNL85-4,33,132.799999999999,61
480.397428211232,1966151.06500452,FRNL85-4,33,137.6,61
-39.1738786670612,1966219.60273103,FRNL85-4,33,138.400000000003,61
-547.83456767333,1966298.9818219,FRNL85-4,33,142.099999999999,61
-1046.14171039884,1966367.01329045,FRNL85-4,33,144.9,61
-1565.71276485291,1966435.59335308,FRNL85-4,33,146.700000000003,61
-2064.01982594893,1966503.65188237,FRNL85-4,33,149.499999999997,61
-2572.95887284412,1966571.99189802,FRNL85-4,33,151.399999999999,61
-3071.26583357708,1966640.07721791,FRNL85-4,33,150.100000000001,61
-3580.2048452443,1966708.44458354,FRNL85-4,33,149.000000000003,61
-4089.14385863626,1966776.82576682,FRNL85-4,33,147.799999999997,61
-4597.80180893576,1966856.31537556,FRNL85-4,33,146.5,61
-5106.74053955462,1966924.72426173,FRNL85-4,33,145.300000000003,61
-5604.76539899263,1967003.97178917,FRNL85-4,33,142.999999999999,61
-6124.05412705673,1967083.77309532,FRNL85-4,33,140.800000000001,61
